call,spy,iv,sofr1m,sofr1m50,sofr3m,sofr3m50,sofr3m200,sofr6m,sofr6m50,sofr6m200,sofr12m,sofr12m50,sofr12m200,baseprice,50price,100price,250price,500price,750price,1000price,sofr12mprice,sofr6mprice,sofr3mprice,sofr1mprice,hvol6price,hvol3price,hvol1price,ivolprice,error
15.5,452.49,13.156,5.31865,5.16005,5.36912,5.25766,4.798,5.45283,5.31445,4.9382,5.40252,5.19705,4.9336,4.57,3.73,3.87,4.09,4.57,5.23,5.91,4.58,4.6,4.58,4.57,6.69,5.94,5.24,4.57,-10.93
17.77,456.92,13.139,5.3181,5.16506,5.37191,5.26314,4.8062,5.448,5.32257,4.945,5.40788,5.21113,4.939,4.51,3.65,3.78,4.01,4.51,5.2,5.91,4.51,4.51,4.51,4.51,6.61,5.86,5.18,4.51,-13.26
18.46,457.79,13.335,5.31784,5.16995,5.36532,5.2682,4.8141,5.43313,5.32985,4.9513,5.38312,5.2237,4.9437,4.44,3.58,3.73,3.93,4.44,5.11,5.85,4.47,4.48,4.47,4.44,6.5,5.79,5.1,4.44,-14.02
17.78,456.48,13.213,5.31795,5.17467,5.36635,5.27294,4.8218,5.43314,5.33664,4.9575,5.37388,5.23525,4.9483,4.38,3.44,3.64,3.86,4.38,5.07,5.75,4.38,4.39,4.38,4.38,6.41,5.72,5.04,4.38,-13.400000000000002
14.61,450.13,13.991,5.31714,5.17914,5.36941,5.27705,4.8293,5.43473,5.3424,4.9634,5.38124,5.24532,4.9528,4.33,3.39,3.51,3.78,4.33,5.03,5.71,4.33,4.34,4.33,4.33,6.31,5.62,4.97,4.97,-10.28
13.99,448.84,14.503,5.3164,5.18351,5.36985,5.28144,4.8365,5.43307,5.34828,4.9688,5.36487,5.25487,4.9564,4.27,3.38,3.48,3.72,4.27,4.97,5.63,4.28,4.28,4.28,4.27,6.22,5.55,4.89,5.55,-9.72
12.17,446.81,13.844,5.31724,5.18785,5.37058,5.28552,4.8436,5.43419,5.3537,4.974,5.36235,5.26384,4.9598,4.18,3.32,3.41,3.64,4.18,4.91,5.62,4.2,4.21,4.2,4.18,6.14,5.48,4.83,4.83,-7.99
13.87,450.71,13.539,5.31583,5.19195,5.36743,5.28904,4.8506,5.42755,5.35825,4.9792,5.33951,5.27121,4.963,4.15,3.24,3.33,3.57,4.15,4.85,5.5,4.16,4.16,4.16,4.15,6.02,5.38,4.77,4.77,-9.719999999999999
12.81,448.75,13.484,5.3124,5.19549,5.36528,5.29184,4.8575,5.42583,5.362,4.9843,5.31827,5.27752,4.9662,4.08,3.18,3.27,3.5,4.08,4.83,5.49,4.08,4.09,4.08,4.08,5.95,5.33,4.66,4.08,-8.73
11.15,445.75,13.593,5.31246,5.19867,5.36678,5.2939,4.8641,5.42097,5.36445,4.9891,5.30832,5.28166,4.969,4.01,3.1,3.18,3.42,4.01,4.73,5.42,4.02,4.05,4.02,4.01,5.85,5.21,4.62,4.62,-7.140000000000001
10.77,445.91,13.268,5.31247,5.20171,5.36915,5.29575,4.8707,5.4214,5.3665,4.9937,5.31174,5.28465,4.9716,3.97,3.05,3.1,3.37,3.97,4.7,5.38,3.98,3.98,3.98,3.97,5.74,5.13,4.54,3.97,-6.799999999999999
10.04,445.65,13.071,5.31048,5.20448,5.36457,5.29719,4.8773,5.41508,5.36839,4.9985,5.30582,5.288,4.9744,3.9,2.96,3.02,3.31,3.9,4.69,5.34,3.9,3.91,3.9,3.9,5.68,5.05,4.44,3.9,-6.139999999999999
11.27,448.11,12.898,5.31261,5.20724,5.37183,5.2991,4.8839,5.43196,5.37132,5.0034,5.35444,5.29383,4.9776,3.84,2.9,2.95,3.23,3.84,4.55,5.26,3.86,3.86,3.86,3.84,5.59,4.94,4.4,3.84,-7.43
9.11,442.89,13.352,5.31376,5.2107,5.37648,5.30202,4.8904,5.44472,5.3753,5.0084,5.38196,5.30093,4.9809,3.78,2.83,2.9,3.17,3.78,4.55,5.26,3.78,3.8,3.78,3.78,5.49,4.88,4.31,3.78,-5.33
7.71,439.64,13.451,5.31195,5.21394,5.37923,5.30454,4.8968,5.44186,5.37839,5.0133,5.38554,5.30679,4.9844,3.73,2.77,2.84,3.1,3.73,4.48,5.17,3.73,3.73,3.73,3.73,5.42,4.8,4.23,3.73,-3.98
6.45,436.29,13.427,5.31398,5.21745,5.37976,5.30736,4.9032,5.44112,5.38167,5.0184,5.37645,5.31243,4.988,3.67,2.69,2.77,3.03,3.67,4.4,5.16,3.68,3.69,3.68,3.67,5.34,4.71,4.14,3.67,-2.7800000000000002
6.17,436.5,13.095,5.31427,5.22112,5.38317,5.31026,4.9096,5.44454,5.385,5.0233,5.38338,5.31802,4.9915,3.62,2.61,2.69,2.98,3.62,4.4,5.08,3.63,3.63,3.63,3.62,5.22,4.64,4.09,3.62,-2.55
7.17,439.34,12.946,5.31778,5.22454,5.37734,5.31279,4.9158,5.42902,5.38774,5.0278,5.35571,5.32221,4.9944,3.56,2.54,2.64,2.92,3.56,4.31,5.01,3.57,3.58,3.57,3.56,5.15,4.56,4.01,3.56,-3.61
6.3,438.15,12.956,5.3153,5.22794,5.38307,5.31562,4.9219,5.4469,5.39134,5.0324,5.38815,5.32792,4.9974,3.5,2.47,2.57,2.83,3.5,4.28,5.0,3.51,3.53,3.51,3.5,5.07,4.49,3.96,3.5,-2.8
7.89,443.03,12.848,5.31495,5.23128,5.39105,5.31846,4.9279,5.45769,5.39477,5.0369,5.41133,5.33318,5.0003,3.45,2.39,2.5,2.77,3.45,4.24,4.93,3.45,3.47,3.46,3.45,4.98,4.43,3.91,3.45,-4.4399999999999995
5.88,436.89,12.907,5.32024,5.23475,5.3879,5.32113,4.9338,5.44501,5.39778,5.0412,5.37539,5.33751,5.0025,3.4,2.31,2.44,2.71,3.4,4.16,4.92,3.41,3.41,3.41,3.4,4.91,4.34,3.84,3.4,-2.48
6.59,439.97,12.524,5.32883,5.23929,5.40389,5.32484,4.9398,5.46731,5.40178,5.0455,5.41166,5.34269,5.0049,3.36,2.26,2.37,2.65,3.36,4.15,4.87,3.36,3.36,3.36,3.36,4.82,4.27,3.77,3.36,-3.23
7.07,442.76,12.413,5.33365,5.24415,5.41744,5.32887,4.9458,5.49279,5.40587,5.05,5.46632,5.34763,5.0076,3.31,2.19,2.3,2.57,3.31,4.06,4.87,3.31,3.32,3.31,3.31,4.73,4.2,3.73,2.91,-3.7600000000000002
9.98,449.16,12.594,5.33106,5.24925,5.42245,5.33318,4.9516,5.50098,5.4101,5.0543,5.47989,5.35262,5.0104,3.23,2.11,2.25,2.51,3.23,4.04,4.82,3.23,3.24,3.23,3.23,4.67,4.12,3.67,3.23,-6.75
10.65,451.01,12.475,5.32968,5.2543,5.4096,5.33697,4.9573,5.47527,5.41343,5.0586,5.41867,5.35566,5.0129,3.21,2.05,2.17,2.47,3.21,3.95,4.82,3.21,3.21,3.21,3.21,4.57,4.05,3.61,2.86,-7.44
9.92,450.35,12.403,5.32741,5.25919,5.40122,5.34041,4.9632,5.4549,5.4163,5.0633,5.37066,5.35808,5.0162,3.15,1.98,2.09,2.42,3.15,3.95,4.78,3.16,3.17,3.16,3.15,4.48,3.99,3.55,2.78,-6.77
