Date,SPY US 11/17/23 P455 Equity,SPY US Equity,Implied Vol,TSFR1M Index - SOFR 1M,SMAVG (50) - 1M,SMAVG (100) -1M,SMAVG (200) - 1M,TSFR3M Index - SOFR 3M,SMAVG (50) -3M,SMAVG (100) - 3M,SMAVG (200) - 3M,TSFR6M Index - SOFR 6M,SMAVG (50) - 6M,SMAVG (100) -6M,SMAVG (200) - 6M,TSFR12M Index - SOFR 12M,SMAVG (50) -12M,SMAVG (100) -12M,SMAVG (200) -12M
7/28/23,10.23,454.2,12.777,5.30538,5.14467,5.00771,4.58222,5.35064,5.24067,5.10675,4.77252,5.42156,5.28859,5.13513,4.91697,5.35298,5.15288,4.97881,4.91654
7/31/23,9.93,455.44,13.247,5.31552,5.1498,5.01388,4.59326,5.35736,5.24609,5.11103,4.78125,5.43125,5.29677,5.13757,4.92425,5.36297,5.16669,4.97859,4.92235
8/1/23,10.68,455.51,12.84,5.31737,5.15501,5.01997,4.60422,5.36559,5.25207,5.11529,4.78975,5.44526,5.30596,5.13999,4.93138,5.39786,5.18262,4.97854,4.92813
8/2/23,13.84,452.49,13.156,5.31865,5.16005,5.02592,4.61447,5.36912,5.25766,5.11956,4.79799,5.45283,5.31445,5.14253,4.93823,5.40252,5.19705,4.97875,4.93359
8/3/23,13.77,456.92,13.139,5.3181,5.16506,5.03176,4.62469,5.37191,5.26314,5.12371,4.80615,5.448,5.32257,5.14486,4.94498,5.40788,5.21113,4.97895,4.93897
8/4/23,15.7,457.79,13.335,5.31784,5.16995,5.03718,4.63483,5.36532,5.2682,5.12696,4.81406,5.43313,5.32985,5.14604,4.95129,5.38312,5.2237,4.9777,4.94368
8/7/23,13.12,456.48,13.213,5.31795,5.17467,5.04188,4.64491,5.36635,5.27294,5.12956,4.82175,5.43314,5.33664,5.14648,4.95746,5.37388,5.23525,4.97564,4.94825
8/8/23,14.3,450.13,13.991,5.31714,5.17914,5.04645,4.65462,5.36941,5.27705,5.13205,4.82928,5.43473,5.3424,5.14692,4.96344,5.38124,5.24532,4.97387,4.95279
8/9/23,15.6,448.84,14.503,5.3164,5.18351,5.05135,4.66412,5.36985,5.28144,5.13542,4.83649,5.43307,5.34828,5.14902,4.96883,5.36487,5.25487,4.97476,4.9564
8/10/23,15.63,446.81,13.844,5.31724,5.18785,5.05792,4.67337,5.37058,5.28552,5.1417,4.84357,5.43419,5.3537,5.15635,4.97404,5.36235,5.26384,4.98327,4.95976
8/11/23,15.45,450.71,13.539,5.31583,5.19195,5.06365,4.68257,5.36743,5.28904,5.1466,4.85059,5.42755,5.35825,5.16218,4.97917,5.33951,5.27121,4.98938,4.96301
8/14/23,14.05,448.75,13.484,5.3124,5.19549,5.06986,4.69168,5.36528,5.29184,5.15295,4.85747,5.42583,5.362,5.17159,4.98428,5.31827,5.27752,5.0009,4.96618
8/15/23,17.15,445.75,13.593,5.31246,5.19867,5.07542,4.70035,5.36678,5.2939,5.15808,4.86412,5.42097,5.36445,5.17831,4.98905,5.30832,5.28166,5.00885,4.96896
8/16/23,18.92,445.91,13.268,5.31247,5.20171,5.08104,4.70892,5.36915,5.29575,5.16361,4.87067,5.4214,5.3665,5.18539,4.99369,5.31174,5.28465,5.01718,4.97155
8/17/23,21.55,445.65,13.071,5.31048,5.20448,5.08655,4.71734,5.36457,5.29719,5.16902,4.87726,5.41508,5.36839,5.19283,4.9985,5.30582,5.288,5.02604,4.97438
8/18/23,21.9,448.11,12.898,5.31261,5.20724,5.09192,4.72567,5.37183,5.2991,5.17394,4.88385,5.43196,5.37132,5.19865,5.00343,5.35444,5.29383,5.03263,4.97757
8/21/23,19.09,442.89,13.352,5.31376,5.2107,5.09714,4.73389,5.37648,5.30202,5.17872,4.89035,5.44472,5.3753,5.20427,5.00839,5.38196,5.30093,5.03924,4.98093
8/22/23,20.05,439.64,13.451,5.31195,5.21394,5.1022,4.74181,5.37923,5.30454,5.18375,4.89677,5.44186,5.37839,5.21074,5.01333,5.38554,5.30679,5.04765,4.98437
8/23/23,16.65,436.29,13.427,5.31398,5.21745,5.10743,4.74966,5.37976,5.30736,5.18948,4.90323,5.44112,5.38167,5.21855,5.01837,5.37645,5.31243,5.05808,4.988
8/24/23,19.78,436.5,13.095,5.31427,5.22112,5.11248,4.75743,5.38317,5.31026,5.1944,4.9096,5.44454,5.385,5.22463,5.02327,5.38338,5.31802,5.0659,4.99148
8/25/23,17.9,439.34,12.946,5.31778,5.22454,5.11759,4.76509,5.37734,5.31279,5.19919,4.91578,5.42902,5.38774,5.23028,5.02784,5.35571,5.32221,5.07282,4.99441
8/28/23,16.77,438.15,12.956,5.3153,5.22794,5.12271,4.77275,5.38307,5.31562,5.20412,4.92187,5.4469,5.39134,5.23609,5.03242,5.38815,5.32792,5.07975,4.99735
8/29/23,12.36,443.03,12.848,5.31495,5.23128,5.12783,4.78036,5.39105,5.31846,5.20894,4.92791,5.45769,5.39477,5.24167,5.03694,5.41133,5.33318,5.08652,5.00026
8/30/23,11.34,436.89,12.907,5.32024,5.23475,5.13293,4.78793,5.3879,5.32113,5.21362,4.93381,5.44501,5.39778,5.24692,5.04117,5.37539,5.33751,5.09277,5.00246
8/31/23,11.31,439.97,12.524,5.32883,5.23929,5.13794,4.79556,5.40389,5.32484,5.21828,4.93978,5.46731,5.40178,5.25218,5.04551,5.41166,5.34269,5.09952,5.00487
9/1/23,10.79,442.76,12.413,5.33365,5.24415,5.14298,4.80324,5.41744,5.32887,5.22329,4.94577,5.49279,5.40587,5.25838,5.04995,5.46632,5.34763,5.10803,5.00756
9/5/23,11.7,449.16,12.594,5.33106,5.24925,5.14796,4.81091,5.42245,5.33318,5.22857,4.95159,5.50098,5.4101,5.26528,5.05434,5.47989,5.35262,5.11794,5.01037
